itemId,rating,review_text,review_date,source,sentiment_label
108870858,1,perfect size and good quality. its really good. im satisfied. thank you daraz.,23 May 2025,daraz,negative
108870858,1,received damaged piece! esto ta garnu vayena ni very disappointed with seller,17 Sep 2024,daraz,negative
108870858,1,Charge vako dekhayo but charge grow up vayena yo product leko yei travel garda powerbank haath ma boknu pardaina vanerw order gareko thiye but charge badhnutw haina jhan ghaterw po janxa 😔charging port thik lagena,25 Jul 2024,daraz,negative
108870858,2,best ta xaina tara price aarusara ko hola ho,27 Apr 2026,daraz,negative
108870858,2,satisfying product at this price. But slow seller response.,12 Jul 2024,daraz,negative
108870858,1,too small,15 Aug 2024,daraz,negative
108870858,2,"I dont like actually this product, its delivered but i thought customer can get this product with 4/500 NPR in Bhrikutimandap Footpath Market like this.",25 Sep 2022,daraz,negative
108870858,1,व्याग बाेक्न भारी नहुने हलुका छ । राम्राे छ। तर त्यसमा भएकाे चार्जिङ पाेर्टले भने काम गरेन ।  म बाहिर भएकाले व्यागकाे फाेटाे यहाँ राख्न सकिन ।,02 Aug 2025,daraz,negative
108870858,2,The centre handle of the bag is off centre and the padding at the back is insufficient,04 Jul 2024,daraz,negative
108870858,2,affordable  price and quality Pani ramro xa lida  hunxa 👍,08 Sep 2025,daraz,negative
108870858,1,product is good but there is No USB Charging,01 Sep 2022,daraz,negative
108870858,1,"not same like shown
cheap quality bag usb is fake",14 Sep 2024,daraz,negative
108870858,2,smaller than expectation,28 Jul 2022,daraz,negative
108870858,2,size of bag is too small,11 Aug 2022,daraz,negative
108870858,1,not good as aspected .,06 May 2022,daraz,negative
108870858,2,USB cable area is not fixed well,21 Jul 2024,daraz,negative
108870858,2,not as expected didn't like the quality,10 Jun 2024,daraz,negative
108870858,2,"the quality of product was medium like not Soo good but according to money it's ok but they send me products with stain,like there was dirt mark at the front side of the bag not satisfied 😔",04 Nov 2023,daraz,negative
108870858,1,Product is good for delivery was very late,02 Jun 2024,daraz,negative
108870858,1,I think i expected more from the product…,30 Apr 2024,daraz,negative
108870858,1,probably product quality,06 Jul 2024,daraz,negative
108870858,1,"I found an empty bag only

there was no cable in it  

as mentioned in the product 

All pockets are empty",18 Aug 2023,daraz,negative
108870858,2,not bad,03 Jul 2024,daraz,negative
108870858,1,stiching is poor,12 Jun 2024,daraz,negative
108870858,2,bag ko quality ramro xaina  😒,30 Nov 2023,daraz,negative
108870858,1,how to returned or exachang this product,10 Oct 2023,daraz,negative
108870858,1,good,03 Jan 2024,daraz,negative
108870858,2,The quality is low.,12 Oct 2023,daraz,negative
105953228,2,"bag testo naramro ta xaina Tara Ali overpriced lagyo.
ani maile yo bag order garda 1109rs ko voucher use gareko thiye. Bag lai return garda malai 2700 nai pauxa ra??",07 Oct 2023,daraz,negative
105953228,1,Ordered this back from daraz and got this back with opposite logo. Carelessness level too high. yes the trust issues with online shopping is still on.,20 Apr 2023,daraz,negative
